id,created_at,clean_text,polarity,subjectivity,lang,followers_count,friends_count,favourites_count
1405947916787896320,2021-06-18 17:57:59+00:00,"rt  ern reconnet   ernreconnet meeting   sle and  covid19  vaccines 

 that s the reason why erns were developed    

 patientsinvolvement…",0.1,0.3,en,70,305,1413
1405947917098176515,2021-06-18 17:57:59+00:00,"rt  whoafro   africa needs millions more doses here  amp  now to curb the third wave  

in the midst of a third wave of  covid19 cases in  afri…",0.16666666666666666,0.16666666666666666,en,1309,2619,72031
1405947927437139968,2021-06-18 17:58:01+00:00,rt  eu commission  a new  eurobarometereu survey shows 79  of europeans intend to get vaccinated against  covid19 this year  but people age…,0.13636363636363635,0.45454545454545453,en,2228,2720,117440
1405947930608082951,2021-06-18 17:58:02+00:00,rt  winnie byanyima  we are dying  ugandans need the world to stand with them  we need oxygen  ppes   covid19 vaccines and money to pay our…,0.0,0.0,en,478,441,77362
1405947957556518912,2021-06-18 17:58:08+00:00,"global partnership is needed to achieve global elimination of cervical cancer globally 
 covid19 has shown that we…  ",0.0,0.0,en,6467,2529,22110
1405947959355883522,2021-06-18 17:58:09+00:00,rt  cdcdirector  i’m pleased to welcome the  wecandothis bus to atlanta today  remember  there are 3 easy ways to find a  covid19 vaccine n…,0.6444444444444445,0.9111111111111111,en,12,152,42963
1405947986136371200,2021-06-18 17:58:15+00:00,rt  longcovidnyc  the us government is lying to us by pretending  covid19 is over  it is not over  people are still dying daily  vaccines a…,0.0,0.0,en,2898,5001,318
1405948040129781760,2021-06-18 17:58:28+00:00,rt  wkrafchik  ibp south africa and partners wrote to the gauteng government in october last year highlighting that residents in emfuleni i…,0.0,0.06666666666666667,en,249,375,14904
1405948091010793473,2021-06-18 17:58:40+00:00,"rt  vaxhunterscan   mb  🌸 winnipeg 🌸 
available mrna vaccines 
📍 atlantic medical centre  1054 mcphillips street 
📞  204 505 1580
call to c…",-0.08333333333333333,0.4666666666666666,en,910,575,6833
1405948100561227776,2021-06-18 17:58:43+00:00,"rt  geoffreyyork  more than 10 000 new cases in south africa s latest report  positivity rate above 20   the third wave continues 
  and tw…",0.22727272727272724,0.39090909090909093,en,214,855,7834
1405948144710414337,2021-06-18 17:58:53+00:00,rt  doritmi  at least one take away seems to me to be that universities may still find themselves facing litigation even if they don t mand…,-0.3,0.4,en,19,103,284
1405948179393175552,2021-06-18 17:59:01+00:00,with the vaccination programme well underway it is important that employers continue to ensure their staff can find…  ,0.4,1.0,en,29688,1104,6234
1405948216504328194,2021-06-18 17:59:10+00:00,"not yet vaccinated against covid 19  sign up for an appointment and let’s stop the spread   wecandothis  arizona 

 ",0.0,0.0,en,974,1329,12732
1405948226667225089,2021-06-18 17:59:13+00:00,rt  cdcgov  you can get a  covid19 vaccine and other vaccines  including flu and shingles  at the same visit  you no longer need to wait 14…,-0.0625,0.25,en,9396,7492,249
1405948234275696655,2021-06-18 17:59:14+00:00,rt  rimmel mohydin  hoarding vaccines is costing lives ,0.0,0.0,en,784,601,10286
1405948267574317065,2021-06-18 17:59:22+00:00,rt  realjoelsmalley  yet another amazingly qualified and courageous doctor  roger hodkinson  speaks out against the crazy government policy…,5.551115123125783e-17,0.9,en,295,1450,15403
1405948272808693763,2021-06-18 17:59:24+00:00,rt  itranslate123   aipac will aipac tell the world that israel has sold expired vaccines to palestinians  which could have been disastrous…,0.0,0.0,en,142,367,7046
